,,Peaks Amplitude,Intervals
eL=-60.0 gnaps=3.0,50%,5.553220507561663,0.015699999999995384
eL=-60.0 gnaps=3.0,75%,5.6927144419308835,0.040800000000000836
eL=-60.0 gnaps=3.0,max,5.890955444689996,2.467600000000001
eL=-60.0 gnaps=3.6,count,4362.0,4361.0
eL=-60.0 gnaps=3.6,mean,5.463039795492848,0.06865053886723228
eL=-60.0 gnaps=3.6,std,0.2905915427801893,0.2584906979415339
eL=-60.0 gnaps=3.6,min,4.803681943163706,0.010699999999999932
eL=-60.0 gnaps=3.6,25%,5.199490238085074,0.012199999999992883
eL=-60.0 gnaps=3.6,50%,5.589324464329328,0.01850000000000307
eL=-60.0 gnaps=3.6,75%,5.705993950063796,0.0490999999999957
eL=-60.0 gnaps=3.6,max,5.981167233710465,1.9884999999999877
eL=-60.0 gnaps=4.2,count,4879.0,4878.0
eL=-60.0 gnaps=4.2,mean,5.48770509734128,0.06145336203362033
eL=-60.0 gnaps=4.2,std,0.29276418032125595,0.2051801632842316
eL=-60.0 gnaps=4.2,min,4.790866611106413,0.01079999999999992
eL=-60.0 gnaps=4.2,25%,5.2531612782418176,0.012299999999981992
eL=-60.0 gnaps=4.2,50%,5.626669776850647,0.025000000000005684
eL=-60.0 gnaps=4.2,75%,5.723676043481927,0.05510000000001014
eL=-60.0 gnaps=4.2,max,5.930001097214728,1.6587000000000014
eL=-65.0 gnaps=1.8,count,2087.0,2086.0
eL=-65.0 gnaps=1.8,mean,5.353384095077842,0.1431616490891659
eL=-65.0 gnaps=1.8,std,0.31579638314900116,0.6483378143465918
eL=-65.0 gnaps=1.8,min,4.805854504497161,0.010699999999985721
eL=-65.0 gnaps=1.8,25%,5.072969784427238,0.01120000000000232
eL=-65.0 gnaps=1.8,50%,5.34771560144696,0.012399999999985312
eL=-65.0 gnaps=1.8,75%,5.617246451184979,0.014800000000001035
eL=-65.0 gnaps=1.8,max,6.145363408537874,3.4940000000000007
eL=-65.0 gnaps=2.4,count,2737.0,2736.0
eL=-65.0 gnaps=2.4,mean,4.924860233964157,0.10916959064327485
eL=-65.0 gnaps=2.4,std,0.5729714936730441,0.5602281904661988
eL=-65.0 gnaps=2.4,min,4.020993992779219,0.009399999999970987
eL=-65.0 gnaps=2.4,25%,4.406869362087358,0.009800000000012687
eL=-65.0 gnaps=2.4,50%,4.851647676961244,0.010600000000010823
eL=-65.0 gnaps=2.4,75%,5.4147223450374575,0.012500000000017053
eL=-65.0 gnaps=2.4,max,6.2420500072088565,3.4064000000000005
eL=-65.0 gnaps=3.0,count,3386.0,3385.0
eL=-65.0 gnaps=3.0,mean,4.69571678076757,0.08824121122599705
eL=-65.0 gnaps=3.0,std,0.6861655194015169,0.49633084229980706
eL=-65.0 gnaps=3.0,min,3.5061158682065763,0.008899999999999686
eL=-65.0 gnaps=3.0,25%,4.0886054168202115,0.009399999999999409
eL=-65.0 gnaps=3.0,50%,4.714296794350391,0.010200000000025966
eL=-65.0 gnaps=3.0,75%,5.214257251309613,0.011400000000008959
eL=-65.0 gnaps=3.0,max,6.223902208199714,3.3576000000000006
eL=-65.0 gnaps=3.6,count,4465.0,4464.0
eL=-65.0 gnaps=3.6,mean,5.1292649136100446,0.0669171370967742
eL=-65.0 gnaps=3.6,std,0.5143441697587061,0.40546996566179644
eL=-65.0 gnaps=3.6,min,4.01453868080777,0.009299999999999864
eL=-65.0 gnaps=3.6,25%,4.70637622348633,0.010300000000000864
eL=-65.0 gnaps=3.6,50%,5.245303057872262,0.011500000000012278
eL=-65.0 gnaps=3.6,75%,5.546084593274088,0.01290000000000191
eL=-65.0 gnaps=3.6,max,6.278062153515787,3.099899999999998
eL=-65.0 gnaps=4.2,count,5491.0,5490.0
eL=-65.0 gnaps=4.2,mean,5.460252135906329,0.05440355191256831
eL=-65.0 gnaps=4.2,std,0.4039876911800724,0.3290366866457531
eL=-65.0 gnaps=4.2,min,3.178672405916873,0.008600000000000163
eL=-65.0 gnaps=4.2,25%,5.135851941798398,0.011200000000030741
eL=-65.0 gnaps=4.2,50%,5.5441457453307,0.013100000000001444
eL=-65.0 gnaps=4.2,75%,5.803863215984855,0.016899999999992588
eL=-65.0 gnaps=4.2,max,6.446246586680599,2.7729999999999997
