,TB,Yan
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,0.03871,0.1175
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,0.03702,0.09375
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,0.02167,0.005777
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,0.04103,0.1644
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,0.01175,0.01325
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,81.93,0.05474
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,0.1916,0.3506
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,0.1947,0.3505
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,0.1930,0.3267
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,0.1776,0.2272
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,0.1149,0.06856
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,81.91,0.04149
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,0.2034,0.3374
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,0.2064,0.3372
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,0.2048,0.3135
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,0.1894,0.2139
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,0.1267,0.05531
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,82.15,0.2959
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,82.15,0.2957
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,82.15,0.2720
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,82.13,0.1725
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,82.06,0.01382
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,0.003066,0.0001552
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,0.001378,0.02392
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,0.01397,0.1234
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,0.07667,0.2821
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,0.001688,0.02377
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,0.01704,0.1233
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,0.07974,0.2819
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,0.01535,0.09952
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,0.07805,0.2582
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,0.06270,0.1586
