Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Peaks per Burst: TB,34.01,49.81,15.80,13.94 to 17.66
  Peaks per Burst: Yan,38.12,46.99,8.864,7.007 to 10.72
  Total Cycle Time: TB,3.730,3.724,-0.005997,-1.875 to 1.863
  Total Cycle Time: Yan,3.728,3.720,-0.008185,-1.877 to 1.861
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.2516,0.5511,P > 0.05,ns
  Burst Duration: Yan,0.2569,0.5626,P > 0.05,ns
  Interburst Interval: TB,-0.2575,0.5606,P > 0.05,ns
  Interburst Interval: Yan,-0.2649,0.5766,P > 0.05,ns
  Intraburst Frequency: TB,1.836,4.020,P<0.001,***
  Intraburst Frequency: Yan,-0.4813,1.054,P > 0.05,ns
  Peaks per Burst: TB,15.80,34.61,P<0.001,***
  Peaks per Burst: Yan,8.864,19.41,P<0.001,***
  Total Cycle Time: TB,-0.005997,0.01305,P > 0.05,ns
  Total Cycle Time: Yan,-0.008185,0.01782,P > 0.05,ns
,,,,
eL=-55.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=1.8,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,0.5960,1.356,0.7605,-1.097 to 2.618
  Burst Duration: Yan,1.012,1.776,0.7644,-1.093 to 2.622
  Interburst Interval: TB,3.134,2.367,-0.7667,-2.636 to 1.102
  Interburst Interval: Yan,2.716,1.944,-0.7719,-2.641 to 1.097
  Intraburst Frequency: TB,57.08,42.76,-14.31,-16.17 to -12.46
  Intraburst Frequency: Yan,37.74,30.44,-7.301,-9.158 to -5.443
  Peaks per Burst: TB,34.01,57.93,23.91,22.06 to 25.77
  Peaks per Burst: Yan,38.12,53.85,15.73,13.87 to 17.59
  Total Cycle Time: TB,3.730,3.723,-0.006304,-1.875 to 1.863
  Total Cycle Time: Yan,3.728,3.720,-0.007839,-1.877 to 1.861
,,,,
