Parameter,,,,
Table Analyzed,all models/meas,,,
,,,,
Two-way ANOVA,,,,
,,,,
Source of Variation,% of total variation,P value,,
  Interburst Interval: TB,-0.4800,1.206,P > 0.05,ns
  Interburst Interval: Yan,0.2451,0.5336,P > 0.05,ns
  Intraburst Frequency: TB,28.75,72.64,P<0.001,***
  Intraburst Frequency: Yan,2.896,6.343,P<0.001,***
  Peaks per Burst: TB,-20.64,52.15,P<0.001,***
  Peaks per Burst: Yan,-0.1852,0.4056,P > 0.05,ns
  Total Cycle Time: TB,-1.854,4.660,P<0.001,***
  Total Cycle Time: Yan,0.001589,0.003459,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.3226,-1.647,-3.505 to 0.2105
  Burst Duration: Yan,2.332,0.3442,-1.988,-3.846 to -0.1305
  Interburst Interval: TB,1.754,3.406,1.652,-0.2171 to 3.521
  Interburst Interval: Yan,1.387,3.384,1.997,0.1282 to 3.866
  Intraburst Frequency: TB,26.90,76.47,49.57,47.72 to 51.43
  Intraburst Frequency: Yan,26.01,74.72,48.71,46.85 to 50.57
  Peaks per Burst: TB,52.84,24.73,-28.11,-29.97 to -26.25
  Peaks per Burst: Yan,60.42,25.77,-34.65,-36.51 to -32.80
  Total Cycle Time: TB,3.724,3.729,0.004475,-1.865 to 1.874
  Total Cycle Time: Yan,3.719,3.729,0.009319,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.647,3.608,P<0.01,**
  Burst Duration: Yan,-1.988,4.354,P<0.001,***
  Interburst Interval: TB,1.652,3.596,P<0.01,**
  Interburst Interval: Yan,1.997,4.348,P<0.001,***
  Intraburst Frequency: TB,49.57,108.6,P<0.001,***
  Intraburst Frequency: Yan,48.71,106.7,P<0.001,***
  Peaks per Burst: TB,-28.11,61.57,P<0.001,***
  Peaks per Burst: Yan,-34.65,75.90,P<0.001,***
  Total Cycle Time: TB,0.004475,0.009740,P > 0.05,ns
  Total Cycle Time: Yan,0.009319,0.02028,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.3720,-1.598,-3.455 to 0.2599
  Burst Duration: Yan,2.332,0.3965,-1.936,-3.793 to -0.07819
  Interburst Interval: TB,1.754,3.357,1.603,-0.2665 to 3.472
  Interburst Interval: Yan,1.387,3.332,1.945,0.07591 to 3.814
  Intraburst Frequency: TB,26.90,90.60,63.70,61.85 to 65.56
  Intraburst Frequency: Yan,26.01,85.15,59.13,57.28 to 60.99
  Peaks per Burst: TB,52.84,33.74,-19.10,-20.96 to -17.24
  Peaks per Burst: Yan,60.42,33.79,-26.63,-28.49 to -24.77
  Total Cycle Time: TB,3.724,3.729,0.004555,-1.865 to 1.874
  Total Cycle Time: Yan,3.719,3.729,0.009315,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.598,3.499,P<0.01,**
  Burst Duration: Yan,-1.936,4.240,P<0.001,***
  Interburst Interval: TB,1.603,3.488,P<0.01,**
  Interburst Interval: Yan,1.945,4.234,P<0.001,***
  Intraburst Frequency: TB,63.70,139.5,P<0.001,***
  Intraburst Frequency: Yan,59.13,129.5,P<0.001,***
  Peaks per Burst: TB,-19.10,41.83,P<0.001,***
  Peaks per Burst: Yan,-26.63,58.33,P<0.001,***
  Total Cycle Time: TB,0.004555,0.009915,P > 0.05,ns
  Total Cycle Time: Yan,0.009315,0.02028,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.4263,-1.543,-3.401 to 0.3142
  Burst Duration: Yan,2.332,0.4546,-1.878,-3.735 to -0.02017
  Interburst Interval: TB,1.754,3.302,1.548,-0.3208 to 3.417
  Interburst Interval: Yan,1.387,3.274,1.886,0.01727 to 3.755
  Intraburst Frequency: TB,26.90,97.89,70.99,69.13 to 72.85
  Intraburst Frequency: Yan,26.01,91.92,65.91,64.05 to 67.76
  Peaks per Burst: TB,52.84,41.75,-11.09,-12.94 to -9.229
  Peaks per Burst: Yan,60.42,41.80,-18.62,-20.47 to -16.76
  Total Cycle Time: TB,3.724,3.729,0.004511,-1.865 to 1.874
  Total Cycle Time: Yan,3.719,3.728,0.008694,-1.860 to 1.878
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.543,3.380,P<0.01,**
  Burst Duration: Yan,-1.878,4.113,P<0.001,***
  Interburst Interval: TB,1.548,3.370,P<0.01,**
  Interburst Interval: Yan,1.886,4.106,P<0.001,***
  Intraburst Frequency: TB,70.99,155.5,P<0.001,***
  Intraburst Frequency: Yan,65.91,144.3,P<0.001,***
  Peaks per Burst: TB,-11.09,24.28,P<0.001,***
  Peaks per Burst: Yan,-18.62,40.78,P<0.001,***
  Total Cycle Time: TB,0.004511,0.009819,P > 0.05,ns
  Total Cycle Time: Yan,0.008694,0.01892,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.5028,-1.467,-3.324 to 0.3907
  Burst Duration: Yan,2.332,0.6621,-1.670,-3.528 to 0.1873
  Interburst Interval: TB,1.754,3.226,1.472,-0.3975 to 3.341
  Interburst Interval: Yan,1.387,3.064,1.677,-0.1926 to 3.546
  Intraburst Frequency: TB,26.90,99.97,73.08,71.22 to 74.93
  Intraburst Frequency: Yan,26.01,83.34,57.33,55.47 to 59.19
  Peaks per Burst: TB,52.84,50.23,-2.605,-4.462 to -0.7474
  Peaks per Burst: Yan,60.42,55.12,-5.296,-7.154 to -3.439
  Total Cycle Time: TB,3.724,3.728,0.004110,-1.865 to 1.873
  Total Cycle Time: Yan,3.719,3.725,0.006094,-1.863 to 1.875
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.467,3.213,P < 0.05,*
  Burst Duration: Yan,-1.670,3.658,P<0.01,**
  Interburst Interval: TB,1.472,3.203,P < 0.05,*
  Interburst Interval: Yan,1.677,3.649,P<0.01,**
  Intraburst Frequency: TB,73.08,160.1,P<0.001,***
  Intraburst Frequency: Yan,57.33,125.6,P<0.001,***
  Peaks per Burst: TB,-2.605,5.706,P<0.001,***
  Peaks per Burst: Yan,-5.296,11.60,P<0.001,***
  Total Cycle Time: TB,0.004110,0.008946,P > 0.05,ns
  Total Cycle Time: Yan,0.006094,0.01327,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=3.0,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,1.970,0.6209,-1.349,-3.206 to 0.5087
  Burst Duration: Yan,2.332,0.9662,-1.366,-3.224 to 0.4915
  Interburst Interval: TB,1.754,3.106,1.352,-0.5174 to 3.221
  Interburst Interval: Yan,1.387,2.755,1.368,-0.5011 to 3.237
  Intraburst Frequency: TB,26.90,100.9,74.01,72.15 to 75.87
  Intraburst Frequency: Yan,26.01,70.30,44.29,42.43 to 46.14
  Peaks per Burst: TB,52.84,62.67,9.827,7.970 to 11.68
  Peaks per Burst: Yan,60.42,67.79,7.370,5.513 to 9.228
  Total Cycle Time: TB,3.724,3.727,0.002472,-1.867 to 1.872
  Total Cycle Time: Yan,3.719,3.721,0.001950,-1.867 to 1.871
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.349,2.954,P < 0.05,*
  Burst Duration: Yan,-1.366,2.992,P < 0.05,*
  Interburst Interval: TB,1.352,2.942,P < 0.05,*
  Interburst Interval: Yan,1.368,2.978,P < 0.05,*
  Intraburst Frequency: TB,74.01,162.1,P<0.001,***
  Intraburst Frequency: Yan,44.29,97.00,P<0.001,***
  Peaks per Burst: TB,9.827,21.52,P<0.001,***
  Peaks per Burst: Yan,7.370,16.14,P<0.001,***
  Total Cycle Time: TB,0.002472,0.005381,P > 0.05,ns
  Total Cycle Time: Yan,0.001950,0.004245,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-55.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,2.313,2.567,0.2544,-1.603 to 2.112
  Burst Duration: Yan,2.670,2.888,0.2178,-1.640 to 2.075
  Interburst Interval: TB,1.407,1.150,-0.2573,-2.126 to 1.612
  Interburst Interval: Yan,1.046,0.8258,-0.2201,-2.089 to 1.649
  Intraburst Frequency: TB,26.75,27.66,0.9153,-0.9423 to 2.773
  Intraburst Frequency: Yan,26.90,28.35,1.450,-0.4073 to 3.308
  Peaks per Burst: TB,61.54,70.52,8.975,7.118 to 10.83
  Peaks per Burst: Yan,71.41,81.27,9.864,8.007 to 11.72
  Total Cycle Time: TB,3.720,3.717,-0.003053,-1.872 to 1.866
  Total Cycle Time: Yan,3.716,3.713,-0.002511,-1.872 to 1.867
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,0.2544,0.5572,P > 0.05,ns
  Burst Duration: Yan,0.2178,0.4770,P > 0.05,ns
  Interburst Interval: TB,-0.2573,0.5601,P > 0.05,ns
  Interburst Interval: Yan,-0.2201,0.4792,P > 0.05,ns
  Intraburst Frequency: TB,0.9153,2.005,P > 0.05,ns
  Intraburst Frequency: Yan,1.450,3.176,P < 0.05,*
  Peaks per Burst: TB,8.975,19.66,P<0.001,***
  Peaks per Burst: Yan,9.864,21.61,P<0.001,***
  Total Cycle Time: TB,-0.003053,0.006645,P > 0.05,ns
  Total Cycle Time: Yan,-0.002511,0.005465,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.3859,-1.927,-3.784 to -0.06920
  Burst Duration: Yan,2.670,0.3877,-2.282,-4.140 to -0.4246
  Interburst Interval: TB,1.407,3.343,1.936,0.06679 to 3.805
  Interburst Interval: Yan,1.046,3.341,2.295,0.4259 to 4.164
  Intraburst Frequency: TB,26.75,74.66,47.91,46.05 to 49.77
  Intraburst Frequency: Yan,26.90,74.54,47.64,45.78 to 49.50
  Peaks per Burst: TB,61.54,28.83,-32.72,-34.57 to -30.86
  Peaks per Burst: Yan,71.41,28.90,-42.51,-44.36 to -40.65
  Total Cycle Time: TB,3.720,3.729,0.009131,-1.860 to 1.878
  Total Cycle Time: Yan,3.716,3.729,0.01287,-1.856 to 1.882
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.927,4.220,P<0.001,***
  Burst Duration: Yan,-2.282,4.999,P<0.001,***
  Interburst Interval: TB,1.936,4.214,P<0.001,***
  Interburst Interval: Yan,2.295,4.996,P<0.001,***
  Intraburst Frequency: TB,47.91,104.9,P<0.001,***
  Intraburst Frequency: Yan,47.64,104.3,P<0.001,***
  Peaks per Burst: TB,-32.72,71.66,P<0.001,***
  Peaks per Burst: Yan,-42.51,93.10,P<0.001,***
  Total Cycle Time: TB,0.009131,0.01988,P > 0.05,ns
  Total Cycle Time: Yan,0.01287,0.02802,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.4720,-1.841,-3.698 to 0.01687
  Burst Duration: Yan,2.670,0.6454,-2.024,-3.882 to -0.1669
  Interburst Interval: TB,1.407,3.256,1.849,-0.02030 to 3.718
  Interburst Interval: Yan,1.046,3.080,2.034,0.1652 to 3.903
  Intraburst Frequency: TB,26.75,78.03,51.28,49.42 to 53.14
  Intraburst Frequency: Yan,26.90,58.91,32.01,30.15 to 33.86
  Peaks per Burst: TB,61.54,36.84,-24.70,-26.56 to -22.85
  Peaks per Burst: Yan,71.41,37.95,-33.46,-35.31 to -31.60
  Total Cycle Time: TB,3.720,3.728,0.008113,-1.861 to 1.877
  Total Cycle Time: Yan,3.716,3.726,0.009889,-1.859 to 1.879
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.841,4.032,P<0.001,***
  Burst Duration: Yan,-2.024,4.434,P<0.001,***
  Interburst Interval: TB,1.849,4.024,P<0.001,***
  Interburst Interval: Yan,2.034,4.428,P<0.001,***
  Intraburst Frequency: TB,51.28,112.3,P<0.001,***
  Intraburst Frequency: Yan,32.01,70.10,P<0.001,***
  Peaks per Burst: TB,-24.70,54.11,P<0.001,***
  Peaks per Burst: Yan,-33.46,73.28,P<0.001,***
  Total Cycle Time: TB,0.008113,0.01766,P > 0.05,ns
  Total Cycle Time: Yan,0.009889,0.02153,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.8476,-1.465,-3.323 to 0.3924
  Burst Duration: Yan,2.670,1.269,-1.401,-3.259 to 0.4565
  Interburst Interval: TB,1.407,2.876,1.469,-0.3999 to 3.338
  Interburst Interval: Yan,1.046,2.451,1.405,-0.4642 to 3.274
  Intraburst Frequency: TB,26.75,58.91,32.17,30.31 to 34.02
  Intraburst Frequency: Yan,26.90,37.26,10.36,8.504 to 12.22
  Peaks per Burst: TB,61.54,49.81,-11.73,-13.59 to -9.871
  Peaks per Burst: Yan,71.41,46.99,-24.42,-26.28 to -22.56
  Total Cycle Time: TB,3.720,3.724,0.004038,-1.865 to 1.873
  Total Cycle Time: Yan,3.716,3.720,0.003803,-1.865 to 1.873
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.465,3.209,P < 0.05,*
  Burst Duration: Yan,-1.401,3.069,P < 0.05,*
  Interburst Interval: TB,1.469,3.198,P < 0.05,*
  Interburst Interval: Yan,1.405,3.058,P < 0.05,*
  Intraburst Frequency: TB,32.17,70.45,P<0.001,***
  Intraburst Frequency: Yan,10.36,22.69,P<0.001,***
  Peaks per Burst: TB,-11.73,25.69,P<0.001,***
  Peaks per Burst: Yan,-24.42,53.49,P<0.001,***
  Total Cycle Time: TB,0.004038,0.008790,P > 0.05,ns
  Total Cycle Time: Yan,0.003803,0.008278,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,2.313,1.356,-0.9563,-2.814 to 0.9013
  Burst Duration: Yan,2.670,1.776,-0.8935,-2.751 to 0.9640
  Interburst Interval: TB,1.407,2.367,0.9601,-0.9090 to 2.829
  Interburst Interval: Yan,1.046,1.944,0.8979,-0.9712 to 2.767
  Intraburst Frequency: TB,26.75,42.76,16.02,14.16 to 17.88
  Intraburst Frequency: Yan,26.90,30.44,3.542,1.684 to 5.399
  Peaks per Burst: TB,61.54,57.93,-3.617,-5.475 to -1.760
  Peaks per Burst: Yan,71.41,53.85,-17.56,-19.41 to -15.70
  Total Cycle Time: TB,3.720,3.723,0.003731,-1.865 to 1.873
  Total Cycle Time: Yan,3.716,3.720,0.004149,-1.865 to 1.873
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-0.9563,2.094,P > 0.05,ns
  Burst Duration: Yan,-0.8935,1.957,P > 0.05,ns
  Interburst Interval: TB,0.9601,2.090,P > 0.05,ns
  Interburst Interval: Yan,0.8979,1.955,P > 0.05,ns
  Intraburst Frequency: TB,16.02,35.08,P<0.001,***
  Intraburst Frequency: Yan,3.542,7.758,P<0.001,***
  Peaks per Burst: TB,-3.617,7.923,P<0.001,***
  Peaks per Burst: Yan,-17.56,38.45,P<0.001,***
  Total Cycle Time: TB,0.003731,0.008121,P > 0.05,ns
  Total Cycle Time: Yan,0.004149,0.009032,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-60.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.5957,-1.717,-3.327 to -0.1066
  Burst Duration: Yan,2.670,2.089,-0.5811,-2.439 to 1.276
  Interburst Interval: TB,1.407,1.274,-0.1328,-1.751 to 1.486
  Interburst Interval: Yan,1.046,1.632,0.5864,-1.283 to 2.455
  Intraburst Frequency: TB,26.75,55.65,28.90,27.29 to 30.51
  Intraburst Frequency: Yan,26.90,28.91,2.008,0.1501 to 3.865
  Peaks per Burst: TB,61.54,32.20,-29.34,-30.95 to -27.73
  Peaks per Burst: Yan,71.41,60.23,-11.17,-13.03 to -9.315
  Total Cycle Time: TB,3.720,1.870,-1.849,-3.468 to -0.2307
  Total Cycle Time: Yan,3.716,3.721,0.005233,-1.864 to 1.874
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.717,4.338,P<0.001,***
  Burst Duration: Yan,-0.5811,1.273,P > 0.05,ns
  Interburst Interval: TB,-0.1328,0.3338,P > 0.05,ns
  Interburst Interval: Yan,0.5864,1.276,P > 0.05,ns
  Intraburst Frequency: TB,28.90,73.02,P<0.001,***
  Intraburst Frequency: Yan,2.008,4.397,P<0.001,***
  Peaks per Burst: TB,-29.34,74.14,P<0.001,***
  Peaks per Burst: Yan,-11.17,24.47,P<0.001,***
  Total Cycle Time: TB,-1.849,4.648,P<0.001,***
  Total Cycle Time: Yan,0.005233,0.01139,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.3226,-1.990,-3.848 to -0.1325
  Burst Duration: Yan,2.670,0.3442,-2.326,-4.183 to -0.4681
  Interburst Interval: TB,1.407,3.406,1.999,0.1301 to 3.868
  Interburst Interval: Yan,1.046,3.384,2.339,0.4694 to 4.208
  Intraburst Frequency: TB,26.75,76.47,49.72,47.87 to 51.58
  Intraburst Frequency: Yan,26.90,74.72,47.82,45.96 to 49.68
  Peaks per Burst: TB,61.54,24.73,-36.81,-38.67 to -34.96
  Peaks per Burst: Yan,71.41,25.77,-45.64,-47.50 to -43.78
  Total Cycle Time: TB,3.720,3.729,0.009044,-1.860 to 1.878
  Total Cycle Time: Yan,3.716,3.729,0.01296,-1.856 to 1.882
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.990,4.359,P<0.001,***
  Burst Duration: Yan,-2.326,5.094,P<0.001,***
  Interburst Interval: TB,1.999,4.352,P<0.001,***
  Interburst Interval: Yan,2.339,5.090,P<0.001,***
  Intraburst Frequency: TB,49.72,108.9,P<0.001,***
  Intraburst Frequency: Yan,47.82,104.7,P<0.001,***
  Peaks per Burst: TB,-36.81,80.63,P<0.001,***
  Peaks per Burst: Yan,-45.64,99.97,P<0.001,***
  Total Cycle Time: TB,0.009044,0.01969,P > 0.05,ns
  Total Cycle Time: Yan,0.01296,0.02822,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.3720,-1.941,-3.798 to -0.08313
  Burst Duration: Yan,2.670,0.3965,-2.273,-4.131 to -0.4158
  Interburst Interval: TB,1.407,3.357,1.950,0.08071 to 3.819
  Interburst Interval: Yan,1.046,3.332,2.286,0.4171 to 4.155
  Intraburst Frequency: TB,26.75,90.60,63.86,62.00 to 65.71
  Intraburst Frequency: Yan,26.90,85.15,58.24,56.39 to 60.10
  Peaks per Burst: TB,61.54,33.74,-27.80,-29.66 to -25.94
  Peaks per Burst: Yan,71.41,33.79,-37.62,-39.47 to -35.76
  Total Cycle Time: TB,3.720,3.729,0.009124,-1.860 to 1.878
  Total Cycle Time: Yan,3.716,3.729,0.01296,-1.856 to 1.882
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.941,4.251,P<0.001,***
  Burst Duration: Yan,-2.273,4.979,P<0.001,***
  Interburst Interval: TB,1.950,4.244,P<0.001,***
  Interburst Interval: Yan,2.286,4.976,P<0.001,***
  Intraburst Frequency: TB,63.86,139.9,P<0.001,***
  Intraburst Frequency: Yan,58.24,127.6,P<0.001,***
  Peaks per Burst: TB,-27.80,60.89,P<0.001,***
  Peaks per Burst: Yan,-37.62,82.39,P<0.001,***
  Total Cycle Time: TB,0.009124,0.01986,P > 0.05,ns
  Total Cycle Time: Yan,0.01296,0.02821,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.0,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.4263,-1.886,-3.744 to -0.02886
  Burst Duration: Yan,2.670,0.4546,-2.215,-4.073 to -0.3578
  Interburst Interval: TB,1.407,3.302,1.896,0.02639 to 3.765
  Interburst Interval: Yan,1.046,3.274,2.228,0.3585 to 4.097
  Intraburst Frequency: TB,26.75,97.89,71.14,69.28 to 73.00
  Intraburst Frequency: Yan,26.90,91.92,65.02,63.16 to 66.87
  Peaks per Burst: TB,61.54,41.75,-19.79,-21.65 to -17.93
  Peaks per Burst: Yan,71.41,41.80,-29.60,-31.46 to -27.75
  Total Cycle Time: TB,3.720,3.729,0.009080,-1.860 to 1.878
  Total Cycle Time: Yan,3.716,3.728,0.01234,-1.857 to 1.881
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.886,4.132,P<0.001,***
  Burst Duration: Yan,-2.215,4.852,P<0.001,***
  Interburst Interval: TB,1.896,4.126,P<0.001,***
  Interburst Interval: Yan,2.228,4.849,P<0.001,***
  Intraburst Frequency: TB,71.14,155.8,P<0.001,***
  Intraburst Frequency: Yan,65.02,142.4,P<0.001,***
  Peaks per Burst: TB,-19.79,43.35,P<0.001,***
  Peaks per Burst: Yan,-29.60,64.84,P<0.001,***
  Total Cycle Time: TB,0.009080,0.01976,P > 0.05,ns
  Total Cycle Time: Yan,0.01234,0.02686,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=3.6,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.5028,-1.810,-3.667 to 0.04765
  Burst Duration: Yan,2.670,0.6621,-2.008,-3.865 to -0.1502
  Interburst Interval: TB,1.407,3.226,1.819,-0.05036 to 3.688
  Interburst Interval: Yan,1.046,3.064,2.018,0.1487 to 3.887
  Intraburst Frequency: TB,26.75,99.97,73.23,71.37 to 75.08
  Intraburst Frequency: Yan,26.90,83.34,56.44,54.58 to 58.30
  Peaks per Burst: TB,61.54,50.23,-11.31,-13.17 to -9.451
  Peaks per Burst: Yan,71.41,55.12,-16.28,-18.14 to -14.43
  Total Cycle Time: TB,3.720,3.728,0.008679,-1.860 to 1.878
  Total Cycle Time: Yan,3.716,3.725,0.009738,-1.859 to 1.879
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.810,3.964,P<0.001,***
  Burst Duration: Yan,-2.008,4.398,P<0.001,***
  Interburst Interval: TB,1.819,3.959,P<0.001,***
  Interburst Interval: Yan,2.018,4.392,P<0.001,***
  Intraburst Frequency: TB,73.23,160.4,P<0.001,***
  Intraburst Frequency: Yan,56.44,123.6,P<0.001,***
  Peaks per Burst: TB,-11.31,24.77,P<0.001,***
  Peaks per Burst: Yan,-16.28,35.67,P<0.001,***
  Total Cycle Time: TB,0.008679,0.01889,P > 0.05,ns
  Total Cycle Time: Yan,0.009738,0.02120,P > 0.05,ns
,,,,
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,,,,
model/measure,eL=-55.0 gnaps=3.6,eL=-65.0 gnaps=4.2,Difference,95% CI of diff.
  Burst Duration: TB,2.313,0.6209,-1.692,-3.549 to 0.1657
  Burst Duration: Yan,2.670,0.9662,-1.704,-3.561 to 0.1539
  Interburst Interval: TB,1.407,3.106,1.699,-0.1702 to 3.568
  Interburst Interval: Yan,1.046,2.755,1.709,-0.1598 to 3.578
  Intraburst Frequency: TB,26.75,100.9,74.16,72.30 to 76.02
  Intraburst Frequency: Yan,26.90,70.30,43.40,41.54 to 45.26
  Peaks per Burst: TB,61.54,62.67,1.123,-0.7341 to 2.981
  Peaks per Burst: Yan,71.41,67.79,-3.617,-5.475 to -1.760
  Total Cycle Time: TB,3.720,3.727,0.007041,-1.862 to 1.876
  Total Cycle Time: Yan,3.716,3.721,0.005594,-1.864 to 1.875
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-1.692,3.706,P<0.01,**
  Burst Duration: Yan,-1.704,3.731,P<0.01,**
  Interburst Interval: TB,1.699,3.698,P<0.01,**
  Interburst Interval: Yan,1.709,3.721,P<0.01,**
  Intraburst Frequency: TB,74.16,162.4,P<0.001,***
  Intraburst Frequency: Yan,43.40,95.05,P<0.001,***
  Peaks per Burst: TB,1.123,2.461,P > 0.05,ns
  Peaks per Burst: Yan,-3.617,7.923,P<0.001,***
  Total Cycle Time: TB,0.007041,0.01533,P > 0.05,ns
  Total Cycle Time: Yan,0.005594,0.01218,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=1.8,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.3859,-2.181,-4.039 to -0.3236
  Burst Duration: Yan,2.888,0.3877,-2.500,-4.357 to -0.6424
  Interburst Interval: TB,1.150,3.343,2.193,0.3241 to 4.062
  Interburst Interval: Yan,0.8258,3.341,2.515,0.6460 to 4.384
  Intraburst Frequency: TB,27.66,74.66,47.00,45.14 to 48.85
  Intraburst Frequency: Yan,28.35,74.54,46.19,44.33 to 48.05
  Peaks per Burst: TB,70.52,28.83,-41.69,-43.55 to -39.83
  Peaks per Burst: Yan,81.27,28.90,-52.37,-54.23 to -50.51
  Total Cycle Time: TB,3.717,3.729,0.01218,-1.857 to 1.881
  Total Cycle Time: Yan,3.713,3.729,0.01538,-1.854 to 1.884
,,,,
model/measure,Difference,t,P value,Summary
  Burst Duration: TB,-2.181,4.777,P<0.001,***
  Burst Duration: Yan,-2.500,5.476,P<0.001,***
  Interburst Interval: TB,2.193,4.774,P<0.001,***
  Interburst Interval: Yan,2.515,5.475,P<0.001,***
  Intraburst Frequency: TB,47.00,102.9,P<0.001,***
  Intraburst Frequency: Yan,46.19,101.2,P<0.001,***
  Peaks per Burst: TB,-41.69,91.31,P<0.001,***
  Peaks per Burst: Yan,-52.37,114.7,P<0.001,***
  Total Cycle Time: TB,0.01218,0.02652,P > 0.05,ns
  Total Cycle Time: Yan,0.01538,0.03349,P > 0.05,ns
,,,,
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,,,,
model/measure,eL=-55.0 gnaps=4.2,eL=-60.0 gnaps=2.4,Difference,95% CI of diff.
  Burst Duration: TB,2.567,0.4720,-2.095,-3.953 to -0.2375
