,TB,Yan
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,9.383,10.03
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,1.838,2.480
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,2.338,2.359
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,5.224,5.248
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,8.482,7.486
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,10.58,9.850
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,2.743,3.849
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,4.321,5.533
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,5.533,6.561
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,5.776,6.050
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,1.624,1.238
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,1.282,1.672
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,4.606,3.947
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,6.772,6.376
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,1.589,1.705
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,2.816,2.754
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,8.457,9.794
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,4.357,5.074
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,1.464,2.186
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,1.878,0.09790
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,4.079,2.567
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,1.231,1.053
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,9.978,11.40
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,5.923,6.745
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,3.049,3.882
