,TB,Yan
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,30.67,4.954
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,22.33,25.29
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,41.20,33.26
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,30.16,35.05
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,1.819,18.48
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,14.69,30.66
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,23.20,38.57
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,25.64,28.55
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,26.73,13.31
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,18.87,7.968
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,4.398,9.760
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,20.52,43.77
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,37.03,55.95
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,45.54,63.86
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,47.98,53.84
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,49.06,38.60
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,17.37,1.793
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,39.38,51.73
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,55.89,63.91
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,64.41,71.83
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,66.84,61.81
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,67.93,46.57
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,28.06,53.53
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,47.11,65.71
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,56.93,73.62
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,59.74,63.60
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,60.99,48.36
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,16.51,12.18
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,25.02,20.09
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,27.46,10.07
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,28.55,5.166
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,8.513,7.913
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,10.95,2.105
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,12.04,17.35
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,2.437,10.02
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,3.526,25.26
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,1.089,15.24
