,TB,Yan
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,21.51,39.44
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,19.08,36.81
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,15.64,27.42
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,10.28,13.62
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,56.47,13.94
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,46.50,64.47
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,44.29,62.13
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,41.86,59.50
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,38.43,50.11
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,33.06,36.31
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,110.2,78.41
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,107.6,76.07
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,104.8,73.45
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,100.8,64.06
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,94.65,50.25
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,2.209,2.340
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,4.639,4.964
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,8.074,14.35
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,13.44,28.16
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,2.431,2.624
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,5.865,12.01
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,11.23,25.82
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,3.435,9.390
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,8.797,23.20
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,5.363,13.81
