,TB,Yan
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=2.4,0.3262,17.28
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.0,8.201,8.740
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,11.58,16.85
eL=-55.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,14.82,8.071
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,0.7417,1.663
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,43.47,61.51
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,70.78,135.1
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,26.67,193.8
eL=-55.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,11.93,179.1
eL=-55.0 gnaps=3.6 vs eL=-55.0 gnaps=4.2,1.868,1.913
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=1.8,6.979,11.87
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=2.4,2.412,20.29
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.0,6.271,6.341
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=3.6,9.716,14.69
eL=-55.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,13.04,5.505
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,2.574,3.875
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,46.72,65.70
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,75.26,142.1
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,30.03,203.6
eL=-55.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,9.989,189.3
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=1.8,8.503,13.63
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=2.4,4.006,22.43
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.0,4.774,4.726
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=3.6,8.255,13.28
eL=-55.0 gnaps=4.2 vs eL=-60.0 gnaps=4.2,11.63,3.759
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,3.957,5.376
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,49.14,68.82
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,78.60,147.7
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,32.60,211.5
eL=-55.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,8.456,197.6
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=2.4,4.269,6.224
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.0,11.49,16.61
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=3.6,14.28,23.55
eL=-60.0 gnaps=1.8 vs eL=-60.0 gnaps=4.2,16.88,16.32
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=1.8,3.495,6.407
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,32.43,44.93
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,54.22,106.6
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,16.75,154.2
eL=-60.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,14.55,139.0
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.0,7.618,25.01
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=3.6,10.56,32.81
eL=-60.0 gnaps=2.4 vs eL=-60.0 gnaps=4.2,13.34,25.19
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=1.8,0.4190,12.71
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=2.4,39.20,41.32
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,63.21,107.4
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,23.23,159.0
eL=-60.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,10.75,143.3
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=3.6,2.883,7.659
eL=-60.0 gnaps=3.0 vs eL=-60.0 gnaps=4.2,5.667,1.195
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=1.8,7.219,8.663
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=2.4,48.48,68.54
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.0,74.48,141.6
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,33.05,199.6
eL=-60.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,2.717,185.3
eL=-60.0 gnaps=3.6 vs eL=-60.0 gnaps=4.2,2.813,9.405
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=1.8,9.790,15.03
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=2.4,52.44,77.40
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.0,79.61,153.6
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=3.6,37.25,214.7
eL=-60.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,0.3266,201.1
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=1.8,12.20,8.047
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=2.4,56.00,70.77
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.0,84.14,148.2
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=3.6,41.13,210.6
eL=-60.0 gnaps=4.2 vs eL=-65.0 gnaps=4.2,3.316,196.7
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=2.4,35.04,49.68
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.0,56.15,108.7
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=3.6,20.08,153.8
eL=-65.0 gnaps=1.8 vs eL=-65.0 gnaps=4.2,9.875,139.2
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.0,21.18,62.32
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=3.6,20.01,110.7
eL=-65.0 gnaps=2.4 vs eL=-65.0 gnaps=4.2,54.37,93.18
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=3.6,45.21,48.75
eL=-65.0 gnaps=3.0 vs eL=-65.0 gnaps=4.2,83.14,27.38
eL=-65.0 gnaps=3.6 vs eL=-65.0 gnaps=4.2,39.03,25.02
