,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps3.0 vs eL-65.0 gnaps1.8,0.1713,0.3567,0.8642443748119977,0.7218733173356082,False,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps2.4,0.1744,0.3566,0.8618123820675504,0.7219480178100846,False,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.0,0.1727,0.3328,0.8631458930265024,0.7398015028706785,False,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.6,0.1573,0.2333,0.875243439910784,0.8158818345268964,False,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps4.2,0.09462,0.07465,0.9247569601491282,0.9406036932854244,False,False
eL-55.0 gnaps3.6 vs eL-55.0 gnaps4.2,0.1169,0.09611,0.9071130295449641,0.9235757351090763,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps1.8,0.3495,0.4928,0.7272585652224918,0.6229544894453314,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps2.4,0.3106,0.3785,0.7565837538980611,0.705653751419868,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.0,0.1546,0.1456,0.8773675631280888,0.8844543395096534,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.6,0.1428,0.1588,0.8866610498673335,0.8740637630272738,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps4.2,81.75,0.2003,7.339407616263738e-117,0.8415473888023334,True,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps1.8,0.3462,0.4962,0.7297313827995384,0.6205602335176015,False,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps2.4,0.3493,0.4961,0.7274083515259941,0.6206305949850672,False,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.0,0.3476,0.4723,0.7286819598196752,0.6374752535928341,False,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.6,0.3322,0.3728,0.7402534755126959,0.7098819660997882,False,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps4.2,0.2695,0.2141,0.7879564283332905,0.8307921144148379,False,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps1.8,0.4664,0.5889,0.6416809414778555,0.5569124573799196,False,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps2.4,0.4274,0.4747,0.6697689442722103,0.6357678266386426,False,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.0,0.2714,0.2417,0.7864979727830104,0.8093793806491755,False,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.6,0.2597,0.2549,0.7954908246427732,0.7991882368097475,False,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps4.2,81.61,0.2964,9.208188543638061e-117,0.7673801205332667,True,False
eL-55.0 gnaps4.2 vs eL-65.0 gnaps1.8,0.4631,0.5923,0.6440383657495434,0.5546404529335357,False,False
eL-55.0 gnaps4.2 vs eL-65.0 gnaps2.4,0.4661,0.5922,0.6418951023939419,0.5547072111234195,False,False
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.0,0.4644,0.5684,0.6431092494381658,0.5707076597767935,False,False
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.6,0.4491,0.4689,0.6540796422314116,0.6398974405911375,False,False
eL-55.0 gnaps4.2 vs eL-65.0 gnaps4.2,0.3864,0.3102,0.6998087812281768,0.756887231478659,False,False
eL-60.0 gnaps1.8 vs eL-60.0 gnaps2.4,0.03897,0.1143,0.9689718774085847,0.9091698002560322,False,False
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.0,0.195,0.3472,0.845686114340668,0.7289817425985713,False,False
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.6,0.2067,0.334,0.8365555873764524,0.7388978302360949,False,False
eL-60.0 gnaps1.8 vs eL-60.0 gnaps4.2,82.15,0.2925,3.846673310876792e-117,0.7703534289749379,True,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps1.8,0.003331,0.003404,0.9973471686364681,0.9972890311570033,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps2.4,0.0002647,0.003249,0.9997891907049403,0.9974124737673559,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.0,0.001953,0.02052,0.9984446154347129,0.9836588553897504,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.6,0.0173,0.12,0.9862228273901694,0.904661550025261,False,False
