,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps1.8 vs eL-60.0 gnaps2.4,0.03776,1.137,0.9699188908046432,0.2569777602324441,False,False
eL-55.0 gnaps1.8 vs eL-60.0 gnaps3.0,2.707,4.976,0.007411514052071081,1.454769297930809e-06,False,True
eL-55.0 gnaps1.8 vs eL-60.0 gnaps3.6,4.286,6.649,2.895763996430008e-05,3.080993873417957e-10,True,True
eL-55.0 gnaps1.8 vs eL-60.0 gnaps4.2,5.499,7.668,1.2274516632724122e-07,8.950266962979471e-13,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps1.8,5.815,4.928,2.545025887047009e-08,1.809705568091173e-06,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps2.4,1.662,0.1012,0.0981704486237822,0.9194989742668656,False,False
eL-55.0 gnaps1.8 vs eL-65.0 gnaps3.0,1.245,2.806,0.2146732092390156,0.005541278929089767,False,False
eL-55.0 gnaps1.8 vs eL-65.0 gnaps3.6,4.571,5.073,8.753275705605741e-06,9.316072513883198e-07,True,True
eL-55.0 gnaps1.8 vs eL-65.0 gnaps4.2,6.739,7.485,1.8737208838082805e-10,2.6388027627629025e-12,True,True
eL-55.0 gnaps2.4 vs eL-55.0 gnaps3.0,2.308,2.438,0.022081760793688968,0.015693693763764206,False,False
eL-55.0 gnaps2.4 vs eL-55.0 gnaps3.6,4.025,4.122,8.238348080911518e-05,5.617662400619377e-05,True,True
eL-55.0 gnaps2.4 vs eL-55.0 gnaps4.2,5.247,5.506,4.1262558513277494e-07,1.1861548344832327e-07,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps1.8,7.195,5.644,1.4240150886904403e-11,6.005816494861985e-08,True,True
eL-55.0 gnaps2.4 vs eL-60.0 gnaps2.4,3.284,2.069,0.0012194731334097208,0.03990687445573621,False,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.0,0.542,1.792,0.5884569327455692,0.07473262009387821,False,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps3.6,1.049,3.492,0.29551765444024614,0.0005968504907599543,False,False
eL-55.0 gnaps2.4 vs eL-60.0 gnaps4.2,2.278,4.535,0.02384560580881162,1.0212782183690883e-05,False,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps1.8,8.983,8.078,2.680625282834666e-16,7.58454748468773e-14,True,True
eL-55.0 gnaps2.4 vs eL-65.0 gnaps2.4,4.895,3.304,2.1009563357657436e-06,0.0011401595931431517,True,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.0,2.006,0.3971,0.046282169732541546,0.6917417835799484,False,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps3.6,1.338,1.89,0.18250404290550526,0.06028857412233888,False,False
eL-55.0 gnaps2.4 vs eL-65.0 gnaps4.2,3.546,4.348,0.0004931148518412793,2.2429160999715768e-05,False,True
eL-55.0 gnaps3.0 vs eL-55.0 gnaps3.6,1.73,1.695,0.0852627241538607,0.09172230685520161,False,False
eL-55.0 gnaps3.0 vs eL-55.0 gnaps4.2,2.968,3.097,0.003385269147339853,0.0022526609094201673,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps1.8,9.411,8.021,1.7133646174885842e-17,1.0728106739417211e-13,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps2.4,5.562,4.492,9.01124191420553e-08,1.2264121981216633e-05,True,True
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.0,2.845,0.6461,0.0049308202047832,0.5189983217223981,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps3.6,1.26,1.061,0.2092229249588935,0.2900438319983519,False,False
eL-55.0 gnaps3.0 vs eL-60.0 gnaps4.2,0.02919,2.113,0.9767438564766346,0.035913373859479694,False,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps1.8,11.16,10.41,1.5327061533651999e-22,2.3865635696852936e-20,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps2.4,7.151,5.713,1.8333826819328492e-11,4.255834325081794e-08,True,True
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.0,4.298,2.831,2.756642163372817e-05,0.0051425286262307395,True,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps3.6,0.9696,0.5481,0.33348508544351996,0.584270013725094,False,False
eL-55.0 gnaps3.0 vs eL-65.0 gnaps4.2,1.248,1.926,0.2135749794939583,0.055604903979383086,False,False
eL-55.0 gnaps3.6 vs eL-55.0 gnaps4.2,1.244,1.408,0.21504019614040074,0.16077377928591322,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps1.8,11.03,9.637,3.6965417162787046e-22,3.93979197465852e-18,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps2.4,7.24,6.154,1.0987783657340671e-11,4.421506188782168e-09,True,True
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.0,4.556,2.338,9.335182124321047e-06,0.020433364902373206,True,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps3.6,2.984,0.6343,0.0032207962683411372,0.5266520492539537,False,False
eL-55.0 gnaps3.6 vs eL-60.0 gnaps4.2,1.759,0.4188,0.08019573727904414,0.675837846103915,False,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps1.8,12.74,11.99,3.064555670970389e-27,5.329405056944457e-25,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps2.4,8.805,7.361,8.295387320919637e-16,5.4487020315794745e-12,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.0,5.993,4.51,1.0232132890996999e-08,1.1361285506544384e-05,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.6,2.694,2.24,0.00769550488320797,0.026255751846441654,False,False
eL-55.0 gnaps3.6 vs eL-65.0 gnaps4.2,0.4806,0.2324,0.6313566490926369,0.8164788096557182,False,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps1.8,12.16,10.95,1.6597986359107145e-25,6.347949160318891e-22,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps2.4,8.424,7.515,9.027968067028872e-15,2.2121794541917346e-12,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.0,5.771,3.734,3.179279470327406e-08,0.00024933949601837753,True,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.6,4.214,2.04,3.8826929922736224e-05,0.04274171234930616,True,False
eL-55.0 gnaps4.2 vs eL-60.0 gnaps4.2,2.997,0.9896,0.0030926015899368988,0.32363488981449784,False,False
eL-55.0 gnaps4.2 vs eL-65.0 gnaps1.8,13.85,13.27,1.4361128082354939e-30,7.899114091410273e-29,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps2.4,9.967,8.706,4.516189259477435e-19,1.5489108546471922e-15,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.0,7.192,5.888,1.4487992959681042e-11,1.755182745269426e-08,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.6,3.925,3.637,0.00012138496151224853,0.00035566458676671893,True,False
