,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-50.0 gnaps3.6 vs eL-60.0 gnaps3.0,10.49,14.16,1.398334749558983e-20,1.6877408967668205e-31,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps3.6,14.65,24.05,5.744773814358241e-33,2.064137030447954e-59,True,True
eL-50.0 gnaps3.6 vs eL-60.0 gnaps4.2,18.7,13.95,7.410631952007458e-45,7.197230403517378e-31,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps1.8,0.05496,1.253,0.9562283845720525,0.21175368735758784,False,False
eL-50.0 gnaps3.6 vs eL-65.0 gnaps2.4,48.1,65.57,5.721185885722919e-108,5.958508863936127e-132,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps3.0,80.31,150.6,5.1068941242368275e-148,8.730803994415988e-199,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps3.6,30.42,221.0,9.64170022910556e-75,4.374779371089327e-230,True,True
eL-50.0 gnaps3.6 vs eL-65.0 gnaps4.2,15.49,207.9,1.7851126280200723e-35,4.3265818122504853e-225,True,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps1.8,8.337,6.474,1.5474451297001157e-14,8.013038144876459e-10,True,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps2.4,3.936,1.652,0.00011636017852597843,0.10019493999538821,True,False
eL-50.0 gnaps4.2 vs eL-55.0 gnaps3.0,0.2242,2.618,0.8228438633674127,0.009561393944031028,False,False
eL-50.0 gnaps4.2 vs eL-55.0 gnaps3.6,2.687,6.08,0.007852461184703913,6.513387446569912e-09,False,True
eL-50.0 gnaps4.2 vs eL-55.0 gnaps4.2,5.026,8.597,1.1570335067528212e-06,3.070249458278507e-15,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps1.8,5.711,8.38,4.2987015797414625e-08,1.1859836872045233e-14,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps2.4,0.5613,17.49,0.5752579559743152,2.2905652335122424e-41,False,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps3.0,9.395,12.86,1.9004302877854417e-17,1.339411181619652e-27,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps3.6,13.54,22.86,1.2230173115364294e-29,2.6294956498120244e-56,True,True
eL-50.0 gnaps4.2 vs eL-60.0 gnaps4.2,17.59,12.55,1.1725533127173774e-41,1.1351285549126184e-26,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps1.8,0.981,0.1109,0.327846818650797,0.9118133238666457,False,False
eL-50.0 gnaps4.2 vs eL-65.0 gnaps2.4,49.45,67.64,4.4860363654109847e-110,2.1265697833898241e-134,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps3.0,82.06,154.1,9.723776899305236e-150,1.1760623599227327e-200,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps3.6,31.97,226.0,3.675670160605016e-78,6.478701034522355e-232,True,True
eL-50.0 gnaps4.2 vs eL-65.0 gnaps4.2,14.3,213.3,6.420877076633875e-32,3.469432601958815e-227,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps2.4,3.998,4.191,9.153762192374181e-05,4.260734212769742e-05,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps3.0,7.11,7.651,2.3183699398857247e-11,9.901384278827284e-13,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps3.6,9.411,10.29,1.7133646174885842e-17,5.310841681676338e-20,True,True
eL-55.0 gnaps1.8 vs eL-55.0 gnaps4.2,11.16,12.13,1.5327061533651999e-22,2.0394767038202858e-25,True,True
