,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps3.6 vs eL-60.0 gnaps4.2,6.862,26.24,2.2371195461693862e-10,7.296677246016797e-55,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps1.8,89.47,104.7,4.6812091323937204e-122,3.84151330499634e-131,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps2.4,87.26,102.3,1.2942334195790467e-120,8.458488440571217e-130,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.0,84.83,99.69,5.475730533917354e-119,2.6477939491660516e-128,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.6,81.39,90.3,1.316161255230114e-116,1.3734055581405397e-122,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps4.2,76.03,76.49,1.0683462359826149e-112,4.8197155803066355e-113,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps1.8,98.15,112.6,2.105360296373755e-127,2.3312827262640474e-135,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps2.4,94.25,100.9,4.640680274527095e-125,5.306909747111706e-129,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.0,77.26,72.73,1.2846530250367656e-113,3.704954538726053e-110,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.6,54.48,50.04,8.852746403347734e-94,4.98371820824512e-89,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps4.2,6.434,36.09,1.9971955982245262e-09,3.283206303723281e-71,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps1.8,101.0,114.5,4.650690615818303e-129,2.4924673230751115e-136,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps2.4,98.77,112.2,9.102671674990152e-128,3.7501799803922987e-135,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.0,96.34,109.5,2.5082507839110336e-126,9.699994560580322e-134,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.6,92.91,100.1,3.1151505158868483e-124,1.5326314021839624e-128,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps4.2,87.54,86.34,8.460979802145138e-121,5.2793478357253636e-120,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps2.4,3.897,11.67,0.0001526866065124218,3.42074874129037e-22,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.0,20.88,39.83,4.163676090032406e-44,1.6921919994631892e-76,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.6,43.67,62.52,1.6533880148277996e-81,1.5234179762964266e-101,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps4.2,106.9,76.46,2.3973937960736717e-132,5.0758157658850186e-113,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps1.8,2.832,1.948,0.005334627045332839,0.053489888855676015,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps2.4,0.6232,0.3918,0.5342045337628554,0.6958237811935162,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.0,1.808,3.016,0.07283260775470339,0.0030613403137647174,False,False
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.6,5.242,12.41,5.974089737461067e-07,4.529175559048662e-24,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps4.2,10.61,26.21,1.6828519640487135e-19,8.303660216197251e-55,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.0,16.99,28.16,2.464096983544033e-35,2.2806819994850845e-58,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.6,39.77,50.85,2.041482328726387e-76,6.3561973237468504e-90,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps4.2,102.4,64.8,7.425619267272872e-130,1.4125249406102691e-103,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps1.8,6.729,13.62,4.4479528934477546e-10,4.0379957641297415e-27,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps2.4,4.52,11.28,1.3382844021543433e-05,3.3514778590548244e-21,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.0,2.09,8.651,0.03849375152360969,1.331683447277759e-14,False,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.6,1.345,0.7396,0.18088039161564123,0.46082689244161346,False,False
eL-60.0 gnaps2.4 vs eL-65.0 gnaps4.2,6.708,14.54,4.955003207228061e-10,2.0712844241463393e-29,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps3.6,22.78,22.69,4.31122186492105e-48,6.591428984192757e-48,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps4.2,82.78,36.63,1.3990401957953634e-117,5.31666660853534e-72,True,True
