,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.6,7.215,96.01,3.509598863477071e-11,3.959783107462935e-126,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps4.2,1.951,75.55,0.05312818511113315,2.463587914696559e-112,False,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps2.4,3.326,3.519,0.0011349679925629582,0.0005908984323367294,False,False
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.0,6.978,7.424,1.2225178442410614e-10,1.1513151698583811e-11,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.6,12.13,21.39,2.3225373716229747e-23,3.3936020586375775e-45,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps4.2,20.07,41.86,2.388010545449319e-42,3.394181777892482e-79,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.0,3.652,3.904,0.0003711610201914372,0.00014877232370254885,False,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.6,8.801,17.87,5.7063969092352825e-15,2.1662916934104945e-37,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps4.2,16.75,38.34,9.106167402462912e-35,1.921025103634867e-74,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps3.6,5.149,13.96,9.060228705529884e-07,5.707571706015328e-28,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps4.2,13.09,34.43,8.663185970641127e-26,1.0194894606627503e-68,True,True
eL-65.0 gnaps3.6 vs eL-65.0 gnaps4.2,7.946,20.47,6.758318593300724e-13,3.1997278072085013e-43,True,True
