,TB,Yan,TB real p,Yan real p,TB p_lessthan_alpha,Yan p_lessthan_alpha
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.0,27.13,40.58,1.6482379040974932e-56,1.653542830893254e-77,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps3.6,15.5,22.32,9.160432292696667e-32,3.815199918056757e-47,True,True
eL-55.0 gnaps3.6 vs eL-65.0 gnaps4.2,1.54,4.958,0.12590105389990397,2.1006686316755336e-06,False,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps1.8,57.15,71.78,1.8099174051413086e-96,2.091031463927956e-109,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps2.4,46.16,59.38,1.4787173053855888e-84,1.2551018847705605e-98,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.0,28.38,46.99,9.27375510939431e-59,1.5339441682693596e-85,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps3.6,17.26,37.58,5.7089125684846866e-36,2.278063060572644e-73,True,True
eL-55.0 gnaps4.2 vs eL-60.0 gnaps4.2,60.59,28.84,9.087409529138001e-100,1.4357285624003676e-59,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps1.8,62.76,76.08,9.238488498361419e-102,9.795810080082939e-113,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps2.4,50.41,65.08,1.938278865836419e-89,8.035031926726693e-104,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.0,39.43,54.1,5.93915192319548e-76,2.185813265676606e-93,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps3.6,27.8,35.84,1.0052577937393704e-57,7.684425162576438e-71,True,True
eL-55.0 gnaps4.2 vs eL-65.0 gnaps4.2,10.76,18.48,7.010004707091371e-20,8.604037106750486e-39,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps2.4,10.98,12.4,1.9379672543912558e-20,4.8012539486871304e-24,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.0,28.77,24.79,1.9043988266267921e-59,4.2375652523652166e-52,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps3.6,39.89,34.2,1.402998628155879e-76,2.2973695308625265e-68,True,True
eL-60.0 gnaps1.8 vs eL-60.0 gnaps4.2,5.331,42.95,3.9936486595084146e-07,1.343099049886761e-80,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps1.8,5.618,4.298,1.0609494583929707e-07,3.276559704559941e-05,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps2.4,6.735,6.701,4.3127320656885997e-10,5.136376828047247e-10,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.0,17.72,17.68,4.822595852022376e-37,5.972640230517335e-37,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps3.6,29.34,35.94,1.9362884372186005e-60,5.4655732422872264e-71,True,True
eL-60.0 gnaps1.8 vs eL-65.0 gnaps4.2,46.38,53.3,8.082260672032797e-85,1.493791649718484e-92,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.0,17.79,12.39,3.3184516939322376e-37,5.0896952704742335e-24,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps3.6,28.9,21.8,1.1274168700829898e-59,4.630211983965984e-46,True,True
eL-60.0 gnaps2.4 vs eL-60.0 gnaps4.2,7.338,30.54,1.8240754986493012e-11,1.7470337078224334e-62,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps1.8,16.6,16.7,2.068312124390217e-34,1.1966575908667846e-34,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps2.4,4.247,5.703,4.0076882412910245e-05,7.11050380805094e-08,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.0,6.735,5.28,4.3127320656885997e-10,5.032797291813429e-07,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps3.6,18.36,23.54,1.6170671214956812e-38,1.2435918093022998e-49,True,True
eL-60.0 gnaps2.4 vs eL-65.0 gnaps4.2,35.4,40.9,3.4730094268182074e-70,6.19844834795038e-78,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps3.6,11.12,9.409,8.546073187577278e-21,1.7776253253489123e-16,True,True
eL-60.0 gnaps3.0 vs eL-60.0 gnaps4.2,27.85,18.16,8.174323456235927e-58,4.646925149912046e-38,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps1.8,34.39,29.09,1.1738498250081772e-68,5.256078674477744e-60,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps2.4,22.03,18.09,1.5286450326618116e-46,6.731742825943621e-38,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.0,11.05,7.107,1.2869925343861831e-20,6.211370515578638e-11,True,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps3.6,0.5754,11.15,0.5659786365900954,7.170548653803957e-21,False,True
eL-60.0 gnaps3.0 vs eL-65.0 gnaps4.2,17.62,28.51,8.234806502523357e-37,5.461851443165433e-59,True,True
eL-60.0 gnaps3.6 vs eL-60.0 gnaps4.2,40.68,8.749,1.216026206463799e-77,7.658265674225876e-15,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps1.8,45.5,38.5,9.196144292237932e-84,1.1473069453282138e-74,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps2.4,33.15,27.5,9.916034015587313e-67,3.4964888992893076e-57,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.0,22.17,16.52,7.81161381924076e-47,3.206961111445842e-34,True,True
eL-60.0 gnaps3.6 vs eL-65.0 gnaps3.6,10.54,1.743,2.5316350547713044e-19,0.08361049296597492,True,False
eL-60.0 gnaps3.6 vs eL-65.0 gnaps4.2,6.498,19.11,1.4457651515076487e-09,3.2277949632407533e-40,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps1.8,11.81,47.25,1.5080920802369766e-22,7.598147085393931e-86,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps2.4,2.438,36.25,0.01606919123831915,1.9099779149493453e-71,False,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.0,15.11,25.26,8.196494107622856e-31,5.245974364625774e-53,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps3.6,28.52,7.006,5.244272020847387e-59,1.0558991446914592e-10,True,True
eL-60.0 gnaps4.2 vs eL-65.0 gnaps4.2,48.17,10.36,6.500580421194874e-87,7.227769591151098e-19,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps2.4,12.35,11.0,6.427701747465034e-24,1.7240874413267232e-20,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.0,23.34,21.98,3.1403505066143683e-49,1.943985614938581e-46,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps3.6,34.96,40.24,1.5936946219338456e-69,4.724119458799553e-77,True,True
eL-65.0 gnaps1.8 vs eL-65.0 gnaps4.2,52.0,57.6,3.5913318770652875e-91,6.543327877128525e-97,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.0,10.98,10.98,1.9379672543912558e-20,1.9379672543912558e-20,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps3.6,22.61,29.24,9.621300875456335e-48,2.884842768761701e-60,True,True
eL-65.0 gnaps2.4 vs eL-65.0 gnaps4.2,39.65,46.6,2.9733725732141583e-76,4.428706174416159e-85,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps3.6,11.63,18.26,4.322792096395506e-22,2.739538025267407e-38,True,True
eL-65.0 gnaps3.0 vs eL-65.0 gnaps4.2,28.67,35.62,2.853627488303459e-59,1.6305726183594214e-70,True,True
eL-65.0 gnaps3.6 vs eL-65.0 gnaps4.2,17.04,17.36,1.8782877425754702e-35,3.328810897582418e-36,True,True
